index,loss rate,depolarizing rate,gate error rate,memory error,measurement error,number of hops,trajectory,experiment,fidelity,total time,fidelity estimation time,fidelity estimated edges,label resource produced,base Bell pairs attempted,distance,XX commute,XX anti-commute,YY commute,YY anti-commute,ZZ commute,ZZ anti-commute
0,0.3,0.025,0.0,0.01,0.0,2,9,1-2G-DirectedEncoded,0.5201666666666667,20.777679999968704,20.77617999996872,"Node 0, Node 2",9001,2163982,100,2070,930,1968,1032,2083,917
0,0.3,0.025,0.0,0.01,0.0,2,9,HG-END2ENDPurifiedEncoded,0.8353333333333334,34.232616666511255,34.2324899998446,"Node 0, Node 2",9001,3390489,100,2832,168,2569,431,2611,389
0,0.3,0.025,0.0,0.01,0.0,2,9,2G-NonLocalCNOT,0.32183333333333336,42.19005666645253,42.18833999978586,"Node 0, Node 2",9001,3968292,100,1704,1296,1552,1448,1675,1325
1,0.3,0.025,0.0,0.01,0.0025,2,0,0G,0.6913333333333334,5.29883333333715,5.298783333337152,"Node 0, Node 2",9001,564819,100,2425,575,2318,682,2405,595
1,0.3,0.025,0.0,0.01,0.0025,2,0,E2E-1G-Ss-Dp,0.5758333333333334,34.9942199998381,34.99127666650476,"Node 0, Node 2",9001,3462262,100,2272,728,2079,921,2104,896
1,0.3,0.025,0.0,0.01,0.0025,2,0,1G-Ss-Dp,0.45866666666666667,20.707859999969475,20.70222333330286,"Node 0, Node 2",9001,2161894,100,1978,1022,1800,1200,1974,1026
1,0.3,0.025,0.0,0.01,0.0025,2,0,1-2G-DirectedEncoded,0.5018333333333334,20.741106666635904,20.740146666635912,"Node 0, Node 2",9001,2169009,100,2053,947,1944,1056,2014,986
1,0.3,0.025,0.0,0.01,0.0025,2,0,HG-END2ENDPurifiedEncoded,0.8388333333333333,34.4561899998424,34.452803333175694,"Node 0, Node 2",9001,3408419,100,2825,175,2551,449,2657,343
1,0.3,0.025,0.0,0.01,0.0025,2,0,2G-NonLocalCNOT,0.29816666666666664,42.36087333311843,42.35577333311844,"Node 0, Node 2",9001,3978049,100,1589,1411,1527,1473,1673,1327
1,0.3,0.025,0.0,0.01,0.0025,2,1,0G,0.6635,5.288416666670466,5.286890000003792,"Node 0, Node 2",9001,562425,100,2372,628,2245,755,2364,636
1,0.3,0.025,0.0,0.01,0.0025,2,1,E2E-1G-Ss-Dp,0.6043333333333333,34.66490666650761,34.66108333317432,"Node 0, Node 2",9001,3439976,100,2307,693,2146,854,2173,827
1,0.3,0.025,0.0,0.01,0.0025,2,1,1G-Ss-Dp,0.4628333333333333,21.001789999966643,21.001029999966644,"Node 0, Node 2",9001,2187041,100,1989,1011,1848,1152,1940,1060
1,0.3,0.025,0.0,0.01,0.0025,2,1,1-2G-DirectedEncoded,0.49283333333333335,20.840969999968262,20.839096666634948,"Node 0, Node 2",9001,2174994,100,2030,970,1907,1093,2020,980
1,0.3,0.025,0.0,0.01,0.0025,2,1,HG-END2ENDPurifiedEncoded,0.8251666666666667,34.68938999984056,34.68880333317392,"Node 0, Node 2",9001,3439277,100,2817,183,2534,466,2600,400
1,0.3,0.025,0.0,0.01,0.0025,2,1,2G-NonLocalCNOT,0.32516666666666666,42.32831999978566,42.32246666645238,"Node 0, Node 2",9001,3988831,100,1709,1291,1569,1431,1673,1327
1,0.3,0.025,0.0,0.01,0.0025,2,2,0G,0.6775,5.334323333337195,5.333826666670521,"Node 0, Node 2",9001,568295,100,2403,597,2275,725,2387,613
1,0.3,0.025,0.0,0.01,0.0025,2,2,E2E-1G-Ss-Dp,0.576,34.792259999839075,34.788329999839135,"Node 0, Node 2",9001,3445867,100,2251,749,2074,926,2131,869
1,0.3,0.025,0.0,0.01,0.0025,2,2,1G-Ss-Dp,0.4661666666666666,20.673209999969718,20.670589999969746,"Node 0, Node 2",9001,2153940,100,2018,982,1813,1187,1966,1034
1,0.3,0.025,0.0,0.01,0.0025,2,2,1-2G-DirectedEncoded,0.48333333333333334,20.86203666663461,20.860379999967957,"Node 0, Node 2",9001,2165470,100,2032,968,1851,1149,2017,983
1,0.3,0.025,0.0,0.01,0.0025,2,2,HG-END2ENDPurifiedEncoded,0.8243333333333334,34.90758999983846,34.90577666650515,"Node 0, Node 2",9001,3456320,100,2838,162,2504,496,2604,396
1,0.3,0.025,0.0,0.01,0.0025,2,2,2G-NonLocalCNOT,0.2975,42.397129999785626,42.393953333118986,"Node 0, Node 2",9001,3995856,100,1631,1369,1534,1466,1620,1380
1,0.3,0.025,0.0,0.01,0.0025,2,3,0G,0.6701666666666667,5.374390000003893,5.3739166666705644,"Node 0, Node 2",9001,572165,100,2382,618,2276,724,2363,637
1,0.3,0.025,0.0,0.01,0.0025,2,3,E2E-1G-Ss-Dp,0.5801666666666667,34.19899999984465,34.19820666651134,"Node 0, Node 2",9001,3389808,100,2259,741,2108,892,2114,886
1,0.3,0.025,0.0,0.01,0.0025,2,3,1G-Ss-Dp,0.4643333333333333,21.020883333299704,21.018383333299727,"Node 0, Node 2",9001,2194345,100,2028,972,1835,1165,1923,1077
1,0.3,0.025,0.0,0.01,0.0025,2,3,1-2G-DirectedEncoded,0.4983333333333333,20.774439999968806,20.764036666635572,"Node 0, Node 2",9001,2165349,100,2084,916,1876,1124,2030,970
