,depolarizing rate,fidelity,trajectory,result
82,0.9500000000000001,0.25087820287997803,3,Analytic
83,1.0,0.25298271244217185,3,Analytic
84,0.0,1.0,4,Analytic
85,0.05,0.9189918674610739,4,Analytic
86,0.1,0.8105573424464685,4,Analytic
87,0.15000000000000002,0.6830144025156074,4,Analytic
88,0.2,0.5528455324274749,4,Analytic
89,0.25,0.4391268904255917,4,Analytic
90,0.30000000000000004,0.3547194184470815,4,Analytic
91,0.35000000000000003,0.30138936627225954,4,Analytic
92,0.4,0.2724182426161489,4,Analytic
93,0.45,0.25870268719641304,4,Analytic
94,0.5,0.25298271244217185,4,Analytic
95,0.55,0.2508782028799781,4,Analytic
96,0.6000000000000001,0.25020695135815274,4,Analytic
97,0.65,0.2500323267861489,4,Analytic
98,0.7000000000000001,0.2500017353172581,4,Analytic
99,0.75,0.25,4,Analytic
100,0.8,0.2500017353172581,4,Analytic
101,0.8500000000000001,0.2500323267861489,4,Analytic
102,0.9,0.25020695135815285,4,Analytic
103,0.9500000000000001,0.25087820287997803,4,Analytic
104,1.0,0.25298271244217185,4,Analytic
105,0.0,1.0,5,Analytic
106,0.05,0.9189918674610739,5,Analytic
107,0.1,0.8105573424464685,5,Analytic
108,0.15000000000000002,0.6830144025156074,5,Analytic
109,0.2,0.5528455324274749,5,Analytic
110,0.25,0.4391268904255917,5,Analytic
111,0.30000000000000004,0.3547194184470815,5,Analytic
112,0.35000000000000003,0.30138936627225954,5,Analytic
113,0.4,0.2724182426161489,5,Analytic
114,0.45,0.25870268719641304,5,Analytic
115,0.5,0.25298271244217185,5,Analytic
116,0.55,0.2508782028799781,5,Analytic
117,0.6000000000000001,0.25020695135815274,5,Analytic
118,0.65,0.2500323267861489,5,Analytic
119,0.7000000000000001,0.2500017353172581,5,Analytic
120,0.75,0.25,5,Analytic
121,0.8,0.2500017353172581,5,Analytic
122,0.8500000000000001,0.2500323267861489,5,Analytic
123,0.9,0.25020695135815285,5,Analytic
124,0.9500000000000001,0.25087820287997803,5,Analytic
125,1.0,0.25298271244217185,5,Analytic
126,0.0,1.0,6,Analytic
127,0.05,0.9189918674610739,6,Analytic
128,0.1,0.8105573424464685,6,Analytic
129,0.15000000000000002,0.6830144025156074,6,Analytic
130,0.2,0.5528455324274749,6,Analytic
131,0.25,0.4391268904255917,6,Analytic
132,0.30000000000000004,0.3547194184470815,6,Analytic
133,0.35000000000000003,0.30138936627225954,6,Analytic
134,0.4,0.2724182426161489,6,Analytic
135,0.45,0.25870268719641304,6,Analytic
136,0.5,0.25298271244217185,6,Analytic
137,0.55,0.2508782028799781,6,Analytic
138,0.6000000000000001,0.25020695135815274,6,Analytic
139,0.65,0.2500323267861489,6,Analytic
140,0.7000000000000001,0.2500017353172581,6,Analytic
141,0.75,0.25,6,Analytic
142,0.8,0.2500017353172581,6,Analytic
143,0.8500000000000001,0.2500323267861489,6,Analytic
144,0.9,0.25020695135815285,6,Analytic
145,0.9500000000000001,0.25087820287997803,6,Analytic
146,1.0,0.25298271244217185,6,Analytic
147,0.0,1.0,7,Analytic
148,0.05,0.9189918674610739,7,Analytic
149,0.1,0.8105573424464685,7,Analytic
150,0.15000000000000002,0.6830144025156074,7,Analytic
151,0.2,0.5528455324274749,7,Analytic
152,0.25,0.4391268904255917,7,Analytic
153,0.30000000000000004,0.3547194184470815,7,Analytic
154,0.35000000000000003,0.30138936627225954,7,Analytic
155,0.4,0.2724182426161489,7,Analytic
156,0.45,0.25870268719641304,7,Analytic
157,0.5,0.25298271244217185,7,Analytic
158,0.55,0.2508782028799781,7,Analytic
159,0.6000000000000001,0.25020695135815274,7,Analytic
160,0.65,0.2500323267861489,7,Analytic
161,0.7000000000000001,0.2500017353172581,7,Analytic
162,0.75,0.25,7,Analytic
163,0.8,0.2500017353172581,7,Analytic
164,0.8500000000000001,0.2500323267861489,7,Analytic
165,0.9,0.25020695135815285,7,Analytic
166,0.9500000000000001,0.25087820287997803,7,Analytic
167,1.0,0.25298271244217185,7,Analytic
168,0.0,1.0,8,Analytic
169,0.05,0.9189918674610739,8,Analytic
170,0.1,0.8105573424464685,8,Analytic
171,0.15000000000000002,0.6830144025156074,8,Analytic
172,0.2,0.5528455324274749,8,Analytic
173,0.25,0.4391268904255917,8,Analytic
174,0.30000000000000004,0.3547194184470815,8,Analytic
175,0.35000000000000003,0.30138936627225954,8,Analytic
176,0.4,0.2724182426161489,8,Analytic
177,0.45,0.25870268719641304,8,Analytic
178,0.5,0.25298271244217185,8,Analytic
179,0.55,0.2508782028799781,8,Analytic
180,0.6000000000000001,0.25020695135815274,8,Analytic
181,0.65,0.2500323267861489,8,Analytic
182,0.7000000000000001,0.2500017353172581,8,Analytic
183,0.75,0.25,8,Analytic
184,0.8,0.2500017353172581,8,Analytic
185,0.8500000000000001,0.2500323267861489,8,Analytic
186,0.9,0.25020695135815285,8,Analytic
187,0.9500000000000001,0.25087820287997803,8,Analytic
188,1.0,0.25298271244217185,8,Analytic
189,0.0,1.0,9,Analytic
190,0.05,0.9189918674610739,9,Analytic
191,0.1,0.8105573424464685,9,Analytic
192,0.15000000000000002,0.6830144025156074,9,Analytic
193,0.2,0.5528455324274749,9,Analytic
194,0.25,0.4391268904255917,9,Analytic
195,0.30000000000000004,0.3547194184470815,9,Analytic
196,0.35000000000000003,0.30138936627225954,9,Analytic
197,0.4,0.2724182426161489,9,Analytic
198,0.45,0.25870268719641304,9,Analytic
199,0.5,0.25298271244217185,9,Analytic
200,0.55,0.2508782028799781,9,Analytic
201,0.6000000000000001,0.25020695135815274,9,Analytic
202,0.65,0.2500323267861489,9,Analytic
203,0.7000000000000001,0.2500017353172581,9,Analytic
204,0.75,0.25,9,Analytic
205,0.8,0.2500017353172581,9,Analytic
206,0.8500000000000001,0.2500323267861489,9,Analytic
207,0.9,0.25020695135815285,9,Analytic
208,0.9500000000000001,0.25087820287997803,9,Analytic
209,1.0,0.25298271244217185,9,Analytic
210,0.0,1.0,0,Simulated
211,0.05,0.9215,0,Simulated
212,0.1,0.8163333333333334,0,Simulated
213,0.15000000000000002,0.6911666666666666,0,Simulated
214,0.2,0.5523333333333333,0,Simulated
215,0.25,0.4521666666666667,0,Simulated
216,0.30000000000000004,0.35883333333333334,0,Simulated
217,0.35000000000000003,0.3098333333333333,0,Simulated
218,0.4,0.2806666666666667,0,Simulated
219,0.45,0.2675,0,Simulated
220,0.5,0.25616666666666665,0,Simulated
221,0.55,0.24966666666666662,0,Simulated
222,0.6000000000000001,0.25033333333333335,0,Simulated
223,0.65,0.231,0,Simulated
224,0.7000000000000001,0.252,0,Simulated
225,0.75,0.2568333333333333,0,Simulated
226,0.8,0.2455,0,Simulated
227,0.8500000000000001,0.24383333333333335,0,Simulated
228,0.9,0.25016666666666665,0,Simulated
229,0.9500000000000001,0.25483333333333336,0,Simulated
230,1.0,0.24649999999999997,0,Simulated
231,0.0,1.0,1,Simulated
232,0.05,0.9205000000000001,1,Simulated
233,0.1,0.8109999999999999,1,Simulated
234,0.15000000000000002,0.6921666666666667,1,Simulated
235,0.2,0.5469999999999999,1,Simulated
236,0.25,0.432,1,Simulated
237,0.30000000000000004,0.373,1,Simulated
238,0.35000000000000003,0.30300000000000005,1,Simulated
239,0.4,0.29900000000000004,1,Simulated
240,0.45,0.267,1,Simulated
241,0.5,0.25666666666666665,1,Simulated
242,0.55,0.25683333333333336,1,Simulated
243,0.6000000000000001,0.26533333333333337,1,Simulated
244,0.65,0.236,1,Simulated
245,0.7000000000000001,0.24583333333333332,1,Simulated
246,0.75,0.24633333333333335,1,Simulated
247,0.8,0.25433333333333336,1,Simulated
248,0.8500000000000001,0.26150000000000007,1,Simulated
